sales_person,sales_jan_to_jun
Shah,"12, 20, 15, 19, 22, 15"
Alam,"10, 15, 14, 17, 14, 21"
Mohammad,"14, 11, 22, 14, 21, 22"
Aisha,"16, 17, 16, 21, 23, 21"
Alisha,"11, 13, 12, 19, 21, 17"
Soha,"14, 14, 12, 22, 15, 18"
Marin,"18, 19, 16, 16, 23, 15"
Sultana,"11, 15, 17, 15, 15, 23"
Aliza,"13, 13, 22, 22, 23, 16"
Shipu,"20, 11, 17, 19, 20, 22"
Shipon,"20, 12, 17, 22, 17, 18"
Biplob,"14, 16, 18, 16, 24, 21"
Shahid,"13, 14, 14, 22, 20, 19"
Sima,"14, 16, 19, 18, 22, 25"
Shilpi,"14, 15, 17, 16, 22, 18"
Shirin,"13, 15, 12, 16, 23, 19"
Srabony,"13, 17, 14, 22, 14, 22"
